player,age,team,position,ppg,assists_per_game,rebounds_per_game,min_per_game
James Harden,30,HOU,SG,34.3,7.5,6.6,36.5
Bradley Beal,26,WAS,SG,30.5,6.1,4.2,36
Damian Lillard,29,POR,PG,30,8,4.3,37.5
Trae Young,21,ATL,PG,29.6,9.3,4.3,35.3
Giannis Antetokounmpo,25,MIL,PF,29.5,5.6,13.6,30.4
Luka Dončić,20,DAL,PG,28.8,8.8,9.4,33.6
Kyrie Irving,27,BRK,PG,27.4,6.4,5.2,32.9
Russell Westbrook,31,HOU,PG,27.2,7,7.9,35.9
Kawhi Leonard,28,LAC,SF,27.1,4.9,7.1,32.4
Devin Booker,23,PHO,SG,26.6,6.5,4.2,35.9
Karl-Anthony Towns,24,MIN,C,26.5,4.4,10.8,33.9
Anthony Davis,26,LAL,PF,26.1,3.2,9.3,34.4
Zach LaVine,24,CHI,SF,25.5,4.2,4.8,34.8
LeBron James,35,LAL,PG,25.3,10.2,7.8,34.6
Donovan Mitchell,23,UTA,SG,24,4.3,4.4,34.3
Brandon Ingram,22,NOP,PF,23.8,4.2,6.1,33.9
Jayson Tatum,21,BOS,PF,23.4,3,7,34.3
D'Angelo Russell,23,2TM,PG,23.1,6.3,3.9,32.3
D'Angelo Russell,23,GSW,PG,23.6,6.2,3.7,32.1
D'Angelo Russell,23,MIN,PG,21.7,6.6,4.6,32.7
Joel Embiid,25,PHI,C,23,3,11.6,29.5
Pascal Siakam,25,TOR,PF,22.9,3.5,7.3,35.2
Zion Williamson,19,NOP,PF,22.5,2.1,6.3,27.8
CJ McCollum,28,POR,SG,22.2,4.4,4.2,36.5
DeMar DeRozan,30,SAS,SF,22.1,5.6,5.5,34.1
Andrew Wiggins,24,2TM,SF,21.8,3.7,5.1,34.4
Andrew Wiggins,24,MIN,SF,22.4,3.7,5.2,34.6
Andrew Wiggins,24,GSW,SF,19.4,3.6,4.6,33.6
John Collins,22,ATL,PF,21.6,1.5,10.1,33.2
Paul George,29,LAC,SF,21.5,3.9,5.7,29.6
De'Aaron Fox,22,SAC,PG,21.1,6.8,3.8,32
Khris Middleton,28,MIL,SF,20.9,4.3,6.2,29.9
Stephen Curry,31,GSW,PG,20.8,6.6,5.2,27.8
Collin Sexton,21,CLE,PG,20.8,3,3.1,33
Spencer Dinwiddie,26,BRK,PG,20.6,6.8,3.5,31.2
Kristaps Porziņģis,24,DAL,C,20.4,1.8,9.5,31.8
Kemba Walker,29,BOS,PG,20.4,4.8,3.9,31.1
Jaylen Brown,23,BOS,SG,20.3,2.1,6.4,33.9
Bojan Bogdanović,30,UTA,SF,20.2,2.1,4.1,33.1
Jimmy Butler,30,MIA,SF,19.9,6,6.7,33.8
Nikola Jokić,24,DEN,C,19.9,7,9.7,32
T.J. Warren,26,IND,SF,19.8,1.5,4.2,32.9
Tobias Harris,27,PHI,PF,19.6,3.2,6.9,34.3
Nikola Vučević,29,ORL,C,19.6,3.6,10.9,32.2
Julius Randle,25,NYK,PF,19.5,3.1,9.7,32.5
Kyle Lowry,33,TOR,PG,19.4,7.5,5,36.2
Buddy Hield,27,SAC,SG,19.2,3,4.6,30.8
Jrue Holiday,29,NOP,SG,19.1,6.7,4.8,34.7
Shai Gilgeous-Alexander,21,OKC,SG,19,3.3,5.9,34.7
LaMarcus Aldridge,34,SAS,C,18.9,2.4,7.4,33.1
Dennis Schröder,26,OKC,PG,18.9,4,3.6,30.8
Danilo Gallinari,31,OKC,PF,18.7,1.9,5.2,29.6
Caris LeVert,25,BRK,SG,18.7,4.4,4.2,29.6
Kelly Oubre Jr.,24,PHO,SF,18.7,1.5,6.4,34.5
Montrezl Harrell,26,LAC,C,18.6,1.7,7.1,27.8
Evan Fournier,27,ORL,SF,18.5,3.2,2.6,31.5
Jamal Murray,22,DEN,PG,18.5,4.8,4,32.3
Domantas Sabonis,23,IND,PF,18.5,5,12.4,34.8
Deandre Ayton,21,PHO,C,18.2,1.9,11.5,32.5
Devonte' Graham,24,CHO,PG,18.2,7.5,3.4,35.1
Lou Williams,33,LAC,PG,18.2,5.6,3.1,28.7
Derrick Rose,31,DET,PG,18.1,5.6,2.4,26
Terry Rozier,25,CHO,PG,18,4.1,4.4,34.3
Ja Morant,20,MEM,PG,17.8,7.3,3.9,31
Andre Drummond,26,2TM,C,17.7,2.7,15.2,33
Andre Drummond,26,DET,C,17.8,2.8,15.8,33.8
Andre Drummond,26,CLE,C,17.5,1.8,11.1,28.1
Kevin Love,31,CLE,PF,17.6,3.2,9.8,31.8
Jusuf Nurkić,25,POR,C,17.6,4,10.3,31.6
Chris Paul,34,OKC,PG,17.6,6.7,5,31.5
Fred VanVleet,25,TOR,SG,17.6,6.6,3.8,35.7
Gordon Hayward,29,BOS,SF,17.5,4.1,6.7,33.5
Jaren Jackson Jr.,20,MEM,C,17.4,1.4,4.6,28.5
Marcus Morris,30,2TM,PF,16.7,1.4,5,31.2
Marcus Morris,30,NYK,SF,19.6,1.4,5.4,32.3
Marcus Morris,30,LAC,PF,10.1,1.4,4.1,28.9
Malcolm Brogdon,27,IND,PG,16.5,7.1,4.9,30.9
Ben Simmons,23,PHI,PG,16.4,8,7.8,35.4
Dillon Brooks,24,MEM,SG,16.2,2.1,3.3,28.9
Goran Dragić,33,MIA,PG,16.2,5.1,3.2,28.2
Norman Powell,26,TOR,SG,16,1.8,3.7,28.4
Bam Adebayo,22,MIA,PF,15.9,5.1,10.2,33.6
Tim Hardaway Jr.,27,DAL,SG,15.8,1.9,3.3,29.5
Luke Kennard,23,DET,SG,15.8,4.1,3.5,32.9
Blake Griffin,30,DET,PF,15.5,3.3,4.7,28.4
Hassan Whiteside,30,POR,C,15.5,1.2,13.5,30
Carmelo Anthony,35,POR,PF,15.4,1.5,6.3,32.8
Dāvis Bertāns,27,WAS,PF,15.4,1.7,4.5,29.3
Serge Ibaka,30,TOR,C,15.4,1.4,8.2,27
Kendrick Nunn,24,MIA,PG,15.3,3.3,2.7,29.3
JJ Redick,35,NOP,SG,15.3,2,2.5,26.4
Jordan Clarkson,27,2TM,SG,15.2,1.9,2.6,24
