,full_name,rating,team,position,height,weight,salary
0,LeBron James,97,Los Angeles Lakers,F,81,250 ,$37436858
1,Kawhi Leonard,97,Los Angeles Clippers,F,79,225 ,$32742000
2,Giannis Antetokounmpo,96,Milwaukee Bucks,F-G,83,242 ,$25842697
3,Kevin Durant,96,Brooklyn Nets,F,82,230 ,$37199000
4,James Harden,96,Houston Rockets,G,77,220 ,$38199000
5,Stephen Curry,95,Golden State Warriors,G,75,185 ,$40231758
6,Anthony Davis,94,Los Angeles Lakers,F-C,82,222 ,$27093019
7,Paul George,93,Los Angeles Clippers,F,80,210 ,$33005556
8,Damian Lillard,92,Portland Trail Blazers,G,74,195 ,$29802321
9,Joel Embiid,91,Philadelphia 76ers,C,84,250 ,$27504630
10,Kyrie Irving,91,Brooklyn Nets,G,74,180 ,$31742000
11,Nikola Jokic,90,Denver Nuggets,C,84,253 ,$27504630
12,Russell Westbrook,90,Houston Rockets,G,75,190 ,$38506482
13,Klay Thompson,89,Golden State Warriors,G,78,205 ,$32742000
14,Karl-Anthony Towns,89,Minnesota Timberwolves,F-C,83,248 ,$27285000
15,Jimmy Butler,88,Miami Heat,G,79,220 ,$32742000
16,Rudy Gobert,88,Utah Jazz,C,85,238 ,$25258427
17,Blake Griffin,88,Detroit Pistons,F,81,252 ,$34449964
18,Donovan Mitchell,88,Utah Jazz,G,73,211 ,$3635760
19,Kemba Walker,88,Boston Celtics,G,72,172 ,$32742000
20,Luka Doncic,87,Dallas Mavericks,G-F,79,227 ,$7683360
21,LaMarcus Aldridge,87,San Antonio Spurs,F-C,83,246 ,$26000000
22,Bradley Beal,87,Washington Wizards,G,75,207 ,$27093018
23,Mike Conley,87,Utah Jazz,G,73,185 ,$32511623
24,DeMar DeRozan,87,San Antonio Spurs,G-F,78,220 ,$27739975
25,CJ McCollum,87,Portland Trail Blazers,G,75,197 ,$27556959
26,Victor Oladipo,87,Indiana Pacers,G,76,213 ,$21000000
27,Kristaps Porzingis,87,Dallas Mavericks,F-C,87,220 ,$27285000
28,D'Angelo Russell,87,Minnesota Timberwolves,G,76,193 ,$27285000
29,Pascal Siakam,87,Toronto Raptors,F,81,227 ,$2351838
30,Ben Simmons,87,Philadelphia 76ers,F,82,240 ,$8113929
31,De'Aaron Fox,86,Sacramento Kings,G,75,171 ,$6392760
32,Devin Booker,86,Phoenix Suns,G,77,206 ,$27285000
33,DeMarcus Cousins,86,,C,82,270 ,$3500000
34,Andre Drummond,86,Cleveland Cavaliers,C,82,270 ,$27093018
35,Draymond Green,86,Golden State Warriors,F,78,230 ,$18539130
36,Jrue Holiday,86,New Orleans Pelicans,G,75,180 ,$26131111
37,Nikola Vucevic,86,Orlando Magic,C,83,240 ,$28000000
38,John Wall,86,Washington Wizards,G,76,195 ,$38199000
39,Jayson Tatum,85,Boston Celtics,F,80,204 ,$7830000
40,Trae Young,85,Atlanta Hawks,G,73,180 ,$6273000
41,Eric Bledsoe,85,Milwaukee Bucks,G,73,195 ,$15625000
42,Clint Capela,85,Atlanta Hawks,C,82,211 ,$16896552
43,Tobias Harris,85,Philadelphia 76ers,F,80,226 ,$32742000
44,Al Horford,85,Philadelphia 76ers,C-F,81,246 ,$28000000
45,Zach LaVine,85,Chicago Bulls,G,78,181 ,$19500000
46,Kyle Lowry,85,Toronto Raptors,G,72,205 ,$33296296
47,Khris Middleton,85,Milwaukee Bucks,F,79,217 ,$30603448
48,Chris Paul,85,Oklahoma City Thunder,G,73,175 ,$38506482
49,John Collins,84,Atlanta Hawks,F,81,225 ,$2686560
50,Buddy Hield,84,Sacramento Kings,G,76,212 ,$4861207
51,Kyle Kuzma,84,Los Angeles Lakers,F,80,221 ,$1974600
52,Jamal Murray,84,Denver Nuggets,G,76,201 ,$4444746
53,Louis Williams,84,Los Angeles Clippers,G,73,175 ,$8000000
54,Marvin Bagley,83,Sacramento Kings,F,83,235 ,$8556120
55,Bojan Bogdanovic,83,Utah Jazz,G-F,80,216 ,$17000000
56,Malcolm Brogdon,83,Indiana Pacers,G,77,223 ,$20000000
57,Danilo Gallinari,83,Oklahoma City Thunder,F,82,225 ,$22615559
58,Montrezl Harrell,83,Los Angeles Clippers,F,79,253 ,$6000000
59,Kevin Love,83,Cleveland Cavaliers,F,80,260 ,$28942830
60,Lauri Markkanen,83,Chicago Bulls,F-C,84,240 ,$5300400
